Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
210;10137800;1527365632;1563594752;3102690508;1389700;0;15300;0;0;0;0;0;0;2000;756;1116;0;76;0;1;
211;6643600;1527918592;1563594752;3102690508;1205100;0;16600;0;0;0;0;0;0;1500;756;1116;0;76;0;1;
212;5391800;1528156160;1563594752;3102690508;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
213;5950500;1528389632;1563594752;3102690508;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
214;6598600;1528844288;1563594752;3102690508;1262600;0;20900;0;0;0;0;0;0;1900;756;1116;0;76;0;1;
215;7588500;1529171968;1563594752;3102699804;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
216;7487400;1529470976;1563594752;3102699804;1538800;0;20700;0;0;0;0;0;0;2100;756;1116;0;76;0;1;
217;6939200;1529856000;1563594752;3102699804;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
218;7222900;1530552320;1563594752;3102699804;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
219;8543400;1531269120;1563594752;3102699804;1566000;0;24700;0;0;0;0;0;0;1800;756;1116;0;76;0;1;
220;4966200;1531469824;1563594752;3102699804;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
221;9435300;1531883520;1563594752;3102711896;1504800;0;16500;0;0;0;0;0;0;1500;756;1116;0;76;0;1;
222;6430200;1532092416;1563594752;3102711896;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
223;7105100;1532792832;1563594752;3102711896;1491200;0;14300;0;0;0;0;0;0;1600;756;1116;0;76;0;1;
224;5856600;1533243392;1563594752;3102711896;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
225;5748600;1533542400;1563594752;3102711896;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
226;6591700;1534222336;1563594752;3119489112;1489900;0;15300;0;0;0;0;0;0;1600;756;1116;0;76;0;1;
227;5512600;1534492672;1563594752;3119489112;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
228;5712600;1534881792;1563594752;3119489112;0;0;0;0;0;0;0;0;0;0;756;1116;0;76;0;1;
